LNG,LAT,X,Y,crashYear,holidayNew,region,policeDistrict,areaUnitID,crashLocation1,weatherA,vehicleType,light,roadSurface,roadType,speedLimit,pedestrian,minorInjuryCount,fatalCount,severeOrFatal
172.675907,-43.5926319,1573839,5173320,2002,not holiday,Canterbury Region,Canterbury,591200,SUMMIT ROAD,Fine,car,Bright sun,Unsealed,Arterial Road,70,NA,1,0,TRUE
176.3272833,-38.06908029,1891892,5781291,2005,not holiday,Bay of Plenty Region,Bay of Plenty,538820,SH 33,Light rain,car,Dark,Sealed,Highway,100,NA,3,0,TRUE
175.9197248,-37.88051147,1856787,5803423,2011,not holiday,Waikato Region,Waikato,535231,SH 29,Fine,motorcycle,Twilight,Sealed,Highway,100,NA,0,0,TRUE
176.893545,-39.61922155,1934239,5607256,2021,not holiday,Hawke's Bay Region,Eastern,545722,SH 51,Fine,bicycle,Overcast,Sealed,Arterial Road,80,NA,0,0,TRUE
172.6348177,-43.56753048,1570510,5176094,2014,not holiday,Canterbury Region,Canterbury,591101,DYERS PASS ROAD,Light rain,car,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
175.2110402,-38.18695562,1793641,5771131,2006,not holiday,Waikato Region,Waikato,531200,SH 3,Fine,car,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
174.6996374,-36.89095103,1751449,5915876,2011,not holiday,Auckland Region,Counties Manukau,514401,HENRY ST,Fine,bicycle,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
172.7088105,-43.0217839,1576274,5236725,2011,not holiday,Canterbury Region,Canterbury,585700,SH 7,Fine,motorcycle,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
175.283744,-37.9723169,1800595,5794796,2006,not holiday,Waikato Region,Waikato,527924,PATERANGI ROAD,Light rain,car,Twilight,Sealed,Highway,100,NA,0,0,TRUE
174.8131426,-41.24257643,1751931,5432729,2007,not holiday,Wellington Region,Wellington,574002,CENTENNIAL SBD,Light rain,car,Overcast,Sealed,Highway,100,NA,0,0,TRUE
176.1461806,-37.71934311,1877311,5820663,2003,not holiday,Bay of Plenty Region,Bay of Plenty,537700,FRASER ST,Fine,car,Overcast,Sealed,Urban Road,50,1,0,0,TRUE
170.9778402,-44.96471655,1440525,5018980,2012,not holiday,Otago Region,Southern,600826,PAPAKAIO ROAD,Fine,car,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
174.9525592,-40.98860371,1764246,5460672,2012,not holiday,Wellington Region,Wellington,566302,SH 1N,Light rain,car,Overcast,Sealed,Arterial Road,70,NA,0,0,TRUE
168.0808403,-46.30190499,1221196,4860637,2001,not holiday,Southland Region,Southern,612740,SH 99,Light rain,car,Dark,Sealed,Highway,100,NA,3,1,TRUE
172.6813302,-43.48272346,1574230,5185528,2019,not holiday,Canterbury Region,Canterbury,590501,MAIREHAU ROAD,Light rain,bicycle,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
172.5892275,-43.27445323,1566668,5208625,2002,not holiday,Canterbury Region,Canterbury,585807,FAWCETTS ROAD,Fine,car,Bright sun,Sealed,Highway,100,NA,0,1,TRUE
